stringsfile version 1
1050
str_no_string NO_STRING!
str_you_have_won_a_duel You_have_won_a_duel!
str_server_s0 [SERVER]:_{s0}
str_disallow_ranged_weapons Disallow_ranged_weapons
str_ranged_weapons_are_disallowed Ranged_weapons_are_disallowed.
str_ranged_weapons_are_allowed Ranged_weapons_are_allowed.
str_duel_starts_in_reg0_seconds Duel_starts_in_{reg0}_seconds...
str_true True
str_false False
str_teamkilled_s1_s2 {s1}_teamkilled_{s2}.
str_kick_server_kills_first_s1_reg5 {s1}_is_auto_kicked_for_having_{reg5}_teamkills,_first_time.
str_kick_server_kills_second_s1_reg5 {s1}_is_auto_kicked_for_having_{reg5}_teamkills,_second_time.
str_ban_server_kills_s1_reg5 {s1}_is_auto_banned_for_having_{reg5}_or_more_teamkills.
str_warning_message_first_reg5 You_have_already_teamkilled_{reg5}_players_this_map,_watch_out!
str_warning_message_second_reg5 You_have_already_teamkilled_{reg5}_players_this_map,_watch_out,_next_is_kick!
str_kick_to_message_first You_are_now_kicked_for_excessive_teamkilling,_watch_out!
str_kick_to_message_second You_are_now_kicked_for_excessive_teamkilling,_watch_out!_next_time_is_ban!
str_ban_to_message You_are_now_banned_for_excessive_teamkilling,_farewell!
str_ban_leaker_message You_are_banned_forever_from_all_servers_for_leaking_the_mod_or_contributing_to_the_leak._Ignorantia_legis_non_excusat._
str_auto_kick_message_s1 {s1}_is_auto_kicked_for_excessive_teamkilling.
str_auto_ban_message_s1 {s1}_is_auto_banned_for_excessive_teamkilling.
str_server_hq_base_retake_s1 The_{s1}_is_Retaking_Their_Base!!
str_server_hq_base_attack_s1 The_Base_of_{s1}_is_Under_Attack!!
str_player_left_server_s1_reg13 {s1}_has_left_the_game_with_ID:_{reg13}
str_push_cannon Push_Cannon
str_fire_cannon Fire_Cannon
str_aim_cannon Take_Control
str_unlimber_cannon Unlimber_Cannon
str_limber_cannon Limber_Cannon
str_load_cartridge Place_Ammunition
str_load_bomb Place_Mortar_Shell
str_load_rocket Place_Ammo_Belt
str_reload_cannon Reload_Cannon
str_pick_up_round Take_Round_Shot
str_pick_up_shell Take_a_Shell_(Explosive)
str_pick_up_canister Take_a_Canister_Shot
str_pick_up_bomb Take_a_Mortar_Shell
str_pick_up_rocket Pick_Up
str_play_piano Play_Piano
str_play_organ Play_Gramophone
str_take_a_shit Use_the_Toilet
str_play_bell Ring_the_Bell
str_take_ship_control Take_Ship_Control
str_cannot_use_piano You_cannot_play_a_piano_while_on_horseback!
str_cannot_use_organ You_cannot_play_a_organ_while_on_horseback!
str_cannot_use_toilet You_cannot_use_the_toilet_while_on_horseback!
str_piano_in_use Someone_else_is_already_playing_the_piano!
str_organ_in_use Someone_else_is_already_playing_the_gramophone!
str_toilet_in_use Someone_else_is_already_using_the_toilet!
str_cannot_use_cannon You_are_not_part_of_the_Artillery_Squad_and_cannot_use_cannons!
str_cannot_use_rocket You_are_not_part_of_the_Heavy_Machinegun_Squad_and_cannot_use_machineguns!
str_cannon_not_loaded The_cannon_is_not_loaded!
str_cannon_already_has_ball This_cannon_already_has_a_cannonball!
str_cannon_already_loaded This_cannon_is_already_loaded!
str_cannot_carry_more_cannon_ammo You_cannot_carry_more_cannon_ammo!
str_cannon_cannot_load_type This_cannon_cannot_load_this_type_of_ammo
str_need_to_have_a_lighter You_need_to_have_a_lighter_to_fire_a_cannon!
str_need_to_have_a_ramrod You_need_to_have_a_ramrod_to_load_a_cannon!
str_need_to_have_a_ball You_need_to_have_ammunition_to_load_a_cannon!
str_need_to_have_a_horse This_cannon_cannot_be_limbered!
str_horse_already_has_cannon This_horse_already_has_a_cannon_limbered!
str_already_to_many_barricades Your_team_already_spawned_too_many_defenses_this_round.
str_already_to_many_ammobox Your_team_already_spawned_too_many_ammoboxes_this_round.
str_cannon_is_already_in_use This_cannon_is_already_being_used.
str_already_to_many_players_class_s21 There_are_already_too_many_players_playing_as_{s21}._Choose_another_unit.
str_already_to_many_players_rank_mus There_are_already_too_many_players_playing_as_Musician_in_this_unit._Choose_another_rank.
str_already_to_many_players_rank_srg There_are_already_too_many_players_playing_as_{s21}_in_this_unit._Choose_another_rank.
str_already_to_many_players_rank_off There_are_already_too_many_players_playing_as_{s21}_in_this_unit._Choose_another_rank.
str_chk_class_limits Enable_Class_Limits
str_chk_class_limits_player_count Min_players_to_enable_class_limits:
str_limit_grenadier Limit_of_Grenadiers_in_each_team_(%):
str_limit_sentry Limit_of_Sentries_in_each_team_(%):
str_limit_medic Limit_of_Field_Medics_in_each_team_(%):
str_limit_general_new Limit_of_Generals_in_each_team_(%):
str_limit_heavy_grenadier Limit_of_Heavy_Grenadiers_in_each_team_(%):
str_limit_skirmisher Limit_of_Snipers_in_each_team_(%):
str_limit_rifle Max_Riflemen_of_Light_Infantry_count_(%):
str_limit_cavalry Limit_of_Light_Machinegunners_in_each_team_(%):
str_limit_lancer Max_Lancers_of_Horsemen_count_(%):
str_limit_hussar Max_Hussars_of_Horsemen_count_(%):
str_limit_dragoon Max_Dragoons_of_Horsemen_count_(%):
str_limit_cuirassier Max_Cuirassiers_of_Horsemen_count_(%):
str_limit_heavycav Max_Unarmoured_Heavy_Cav_of_Horsemen_count_(%):
str_limit_artillery Limit_of_Artillery_in_each_team_(%):
str_limit_rocket Limit_of_Heavy_Machine_Gunners_in_each_team_(%):
str_limit_sapper Limit_of_Engineers_in_each_team_(%):
str_limit_musician Limit_of_Musicians_in_each_unit_(nr):
str_limit_sergeant Limit_of_Sergeants_in_each_unit_(nr):
str_limit_officer Limit_of_Captains_in_each_unit_(nr):
str_limit_general Limit_of_Generals_in_each_team_(nr):
str_build_points_team_1 Build_points_for_the_first_team:
str_build_points_team_2 Build_points_for_the_second_team:
str_allow_multiple_firearms Allow_carrying_of_multiple_firearms
str_enable_bonuses Enable_Bonuses
str_bonus_strength Bonus_Strength_(%):
str_bonus_range Bonus_Range_in_meters:
str_num_bots_per_squad Num_bots_per_squad:
str_scale_squad_size Scale_squad_size_after_team_ratio
str_max_num_bots Max_number_of_bots:
str_chance_of_falling_off_horse Chance_of_falling_off_horse_when_hit_(%):
str_damage_from_horse_dying Damage_dealt_to_rider_when_horse_dies_(%):
str_admin_start_map_s0_s1_s2_s5_s6 {s0}_Changed_the_map_to_{s1}_with_gamemode_{s2}_and_with_the_nations_{s5}_and_{s6}.
str_admin_set_max_num_players_s0_reg1 {s0}_Changed_the_maximum_number_of_players_to_{reg1}.
str_admin_set_num_bots_in_team_s0_s1_reg1 {s0}_Changed_the_number_of_bots_for_the_{s1}_to_{reg1}.
str_admin_set_friendly_fire_s0_s9 {s0}_Set_allow_ranged_friendly_fire_to_{s9}.
str_admin_set_melee_friendly_fire_s0_s9 {s0}_Set_allow_melee_friendly_fire_to_{s9}.
str_admin_set_friendly_fire_damage_self_ratio_s0_reg1 {s0}_Set_the_friendly_fire_damage_to_self_ratio_to_{reg1}_%.
str_admin_set_friendly_fire_damage_friend_ratio_s0_reg1 {s0}_Set_the_friendly_fire_damage_to_friend_ratio_to_{reg1}_%.
str_admin_set_ghost_mode_s0_s1 {s0}_Set_ghost_mode_to_{s1}.
str_admin_set_control_block_dir_s0_s1 {s0}_Set_control_block_direction_to_{s1}.
str_admin_set_combat_speed_s0_s1 {s0}_Set_the_combat_speed_to_{s1}.
str_admin_set_respawn_count_s0_s1 {s0}_Set_the_defender_spawn_count_to_{s1}.
str_admin_set_add_to_servers_list_s0_s9 {s0}_Set_add_server_to_servers_list_to_{s9}.
str_admin_set_respawn_period_s0_reg1 {s0}_Changed_the_respawn_period_to_{reg1}_seconds.
str_admin_set_game_max_minutes_s0_reg1 {s0}_Changed_the_map_timelimit_to_{reg1}_minutes.
str_admin_set_round_max_seconds_s0_reg1 {s0}_Changed_the_round_timelimit_to_{reg1}_seconds.
str_admin_set_player_respawn_as_bot_s0_s9 {s0}_Set_players_respawn_as_bots_to_{s9}.
str_admin_set_game_max_points_s0_reg1 {s0}_Changed_the_game_max_points_to_{reg1}.
str_admin_set_point_gained_from_flags_s0_reg1 {s0}_Changed_points_gained_from_flags_to_{reg1}.
str_admin_set_point_gained_from_capturing_flag_s0_reg1 {s0}_Changed_points_gained_from_capturing_a_flag_to_{reg1}.
str_admin_set_initial_gold_multiplier_s0_reg1 {s0}_Set_the_initial_gold_multiplier_to_{reg1}_%.
str_admin_set_battle_earnings_multiplier_s0_reg1 {s0}_Set_the_combat_gold_multiplier_to_{reg1}_%.
str_admin_set_round_earnings_multiplier_s0_reg1 {s0}_Set_the_round_gold_bonus_multiplier_to_{reg1}_%.
str_admin_set_server_name_s1_s0 {s1}_Set_the_server_name_to_{s0}
str_admin_set_game_password_s1_s0 {s1}_Set_the_server_password_to_{s0}
str_admin_set_welcome_message_s1 {s1}_Changed_the_server_welcome_message.
str_admin_set_welcome_message_s1_s0 {s1}_Set_the_server_welcome_message_to_{s0}.
str_admin_set_valid_vote_ratio_s0_reg1 {s0}_Set_the_valid_vote_ratio_to_{reg1}_%.
str_admin_set_auto_team_balance_limit_s0_s1 {s0}_Set_the_auto_team_balance_limit_to_{s1}.
str_admin_set_num_bots_voteable_s0_reg1 {s0}_Changed_maximum_number_of_votable_bots_to_{reg1}.
str_admin_set_factions_voteable_s0_s9 {s0}_Set_nations_voteable_to_{s9}.
str_admin_set_maps_voteable_s0_s9 {s0}_Set_maps_voteable_to_{s9}.
str_admin_set_kick_voteable_s0_s9 {s0}_Set_kick_voteable_to_{s9}.
str_admin_set_ban_voteable_s0_s9 {s0}_Set_ban_voteable_to_{s9}.
str_admin_set_allow_player_banners_s0_s9 {s0}_Set_allow_individual_banners_to_{s9}.
str_admin_set_force_default_armor_s0_s9 {s0}_Set_force_minimum_armor_to_{s9}.
str_admin_set_disallow_ranged_weapons_s0_s9 {s0}_Set_disallow_ranged_weapons_to_{s9}.
str_admin_set_mod_variable_auto_kick_s0_s9 {s0}_Set_auto-kick/ban_for_teamkills_to_{s9}.
str_admin_set_mod_variable_max_teamkills_before_kick_s0_reg1 {s0}_Set_the_amount_of_teamkills_before_auto-kick/ban_to_{reg1}.
str_admin_set_mod_variable_auto_horse_s0_s9 {s0}_Set_automatic_killing_of_stray_horses_to_{s9}.
str_admin_set_mod_variable_auto_swap_s0_s9 {s0}_Set_auto-swap_teams_at_siege_and_battle_to_{s9}.
str_admin_set_use_class_limits_s0_s9 {s0}_Set_use_class_limits_to_{s9}.
str_admin_set_class_limit_player_count_s0_reg1 {s0}_Set_minimum_players_to_enable_class_limits_to_{reg1}_players.
str_admin_set_limit_grenadier_s0_reg1 {s0}_Set_the_class_limit_for_Grenadiers_to_{reg1}_%_of_the_team.
str_admin_set_limit_sentry_s0_reg1 {s0}_Set_the_class_limit_for_Sentries_to_{reg1}_%_of_the_team.
str_admin_set_limit_medic_s0_reg1 {s0}_Set_the_class_limit_for_Field_Medics_to_{reg1}_%_of_the_team.
str_admin_set_limit_general_new_s0_reg1 {s0}_Set_the_class_limit_for_Generals_to_{reg1}_%_of_the_team.
str_admin_set_limit_heavy_grenadier_s0_reg1 {s0}_Set_the_class_limit_for_Heavy_Grenadiers_to_{reg1}_%_of_the_team.
str_admin_set_limit_skirmisher_s0_reg1 {s0}_Set_the_class_limit_for_Snipers_to_{reg1}_%_of_the_team.
str_admin_set_limit_rifle_s0_reg1 {s0}_Set_the_class_limit_for_Riflemen_to_{reg1}_%_of_the_Light_Infantry.
str_admin_set_limit_cavalry_s0_reg1 {s0}_Set_the_class_limit_for_Light_Machinegunners_to_{reg1}_%_of_the_team.
str_admin_set_limit_lancer_s0_reg1 {s0}_Set_the_class_limit_for_Lancers_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_hussar_s0_reg1 {s0}_Set_the_class_limit_for_Hussars_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_dragoon_s0_reg1 {s0}_Set_the_class_limit_for_Dragoons_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_cuirassier_s0_reg1 {s0}_Set_the_class_limit_for_Cuirassiers_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_heavycav_s0_reg1 {s0}_Set_the_class_limit_for_Non-Armoured_Heavy_Cavalry_to_{reg1}_%_of_the_Horsemen.
str_admin_set_limit_artillery_s0_reg1 {s0}_Set_the_class_limit_for_Artillery_to_{reg1}_%_of_the_team.
str_admin_set_limit_rocket_s0_reg1 {s0}_Set_the_class_limit_for_Heavy_Machinegunners_to_{reg1}_%_of_the_team.
str_admin_set_limit_sapper_s0_reg1 {s0}_Set_the_class_limit_for_Sappers_to_{reg1}_%_of_the_team.
str_admin_set_limit_musician_s0_reg1 {s0}_Set_the_limit_for_the_Musician_rank_to_{reg1}_persons_per_Unit.
str_admin_set_limit_sergeant_s0_reg1 {s0}_Set_the_limit_for_the_Sergeant_rank_to_{reg1}_persons_per_Unit.
str_admin_set_limit_officer_s0_reg1 {s0}_Set_the_limit_for_the_Officer_rank_to_{reg1}_persons_per_Unit.
str_admin_set_limit_general_s0_reg1 {s0}_Set_the_limit_for_Generals_to_{reg1}_persons_per_nation.
str_admin_set_build_points_team_1_s0_reg1 {s0}_Set_the_buildpoints_for_the_first_team_to_{reg1}_points.
str_admin_set_build_points_team_2_s0_reg1 {s0}_Set_the_buildpoints_for_the_second_team_to_{reg1}_points.
str_admin_set_squad_size_s0_reg1 {s0}_Set_the_squad_size_to_{reg1}_bots_per_squad.
str_admin_set_scale_squad_size_s0_s9 {s0}_Set_scale_squad_size_to_team_ratio_to_{s9}.
str_admin_set_max_num_bots_s0_reg1 {s0}_Set_the_max_number_of_bots_to_{reg1}.
str_admin_set_allow_multiple_firearms_s0_s9 {s0}_Set_allow_carrying_of_multiple_firearms_to_{s9}.
str_admin_set_enable_bonuses_s0_s9 {s0}_Set_use_bonuses_to_{s9}.
str_admin_set_bonus_strength_s0_reg1 {s0}_Set_the_strength_of_bonuses_to_{reg1}%.
str_admin_set_bonus_range_s0_reg1 {s0}_Set_the_range_of_bonuses_to_{reg1}_meters.
str_admin_set_fall_off_horse_s0_reg1 {s0}_Set_the_chance_to_fall_off_the_horse_when_hit_to_{reg1}%.
str_admin_set_horse_dying_s0_reg1 {s0}_Set_the_damaged_dealt_to_rider_when_horse_dies_to_{reg1}%.
str_mute_all Mute_All_Players
str_unmute_all Unmute_All_Players
str_slay_player Slay_Player
str_slay_player_s2_s3 {s2}_Slayed_Player_{s3}.
str_slay_all Slay_Everyone
str_slay_all_s2 {s2}_Slayed_Everyone.
str_freeze_player Freeze_Player
str_freeze_player_s2_s3 {s2}_Toggled_Freeze_on_Player_{s3}.
str_freeze_all Freeze_Everyone
str_freeze_all_s2 {s2}_Toggled_Freeze_on_Everyone
str_swap_player Swap_Player
str_swap_player_s2_s3 {s2}_Swapped_Player_{s3}_to_the_opposite_team.
str_swap_all Swap_Everyone
str_swap_all_s2 {s2}_Swapped_Everyone_to_the_opposite_team.
str_forceautobalance_all Force_Autobalance
str_forceautobalance_all_s2 {s2}_Forced_a_Autobalance_on_the_teams.
str_spec_player Swap_Player_to_Spectators
str_spec_player_s2_s3 {s2}_Swapped_Player_{s3}_to_Spectators.
str_spec_all Swap_Everyone
str_spec_all_s2 {s2}_Swapped_Everyone_to_Spectators
str_kick_player_s2_s3 {s2}_Kicked_Player_{s3}.
str_ban_player_s2_s3 {s2}_Permanently_Banned_Player_{s3}.
str_ban_player_temp Ban_Player_Temporary
str_ban_player_temp_s2_s3 {s2}_Temporary_Banned_Player_{s3}.
str_ban_hammer_s2_s3 Saint_{s2}_Smashed_The_Ban_Hammer_Right_in_{s3}'s_Face,_Farewell!
str_admin_cheats Cheats
str_choose_a_cheat_type Choose_a_cheat_type:
str_cheat_spawn_hammer Spawn_Lightsaber
str_cheat_spawn_hammer_s2 {s2}_Spawned_a_Lightsaber.
str_cheat_spawn_hammer_2_s2 And_Saint_{s2}_raised_the_holy_ban_hammer_up_on_high,_saying,_'O_Lord,_bless_this_thy_holy_ban_hammer,_that_with_it_thou_mayst_smash_thine_enemies_to_tiny_bits,_in_thy_mercy.'_And_the_Lord_did_grin.
str_cheat_spawn_shotgun Spawn_M4
str_cheat_spawn_shotgun_s2 The_Almighty_{s2}_Spawned_a_M4.
str_cheat_spawn_rocketlauncher Spawn_Holy_Hand_Grenade
str_cheat_spawn_rocketlauncher_s2 {s2}_Spawned_a_Hand_Grenade.
str_cheat_spawn_grenade Spawn_RPG
str_cheat_spawn_grenade_s2 {s2}_Spawned_a_RPG._Run_for_your_life!
str_cheat_spawn_grenade_2_s2 And_Saint_{s2}_raised_the_holy_grenade_up_on_high,_saying,_'O_Lord,_bless_this_thy_hand_grenade,_that_with_it_thou_mayst_blow_thine_enemies_to_tiny_bits,_in_thy_mercy.'_And_the_Lord_did_grin.
str_cheat_spawn_horse Spawn_Angry_Elephant
str_cheat_spawn_horse_s2 {s2}_Spawned_an_Angry_Elephant.
str_cheat_beacon_player Beacon_Player
str_cheat_beacon_player_s2_s3 {s2}_Toggled_Beacon_on_Player_{s3}.
str_cheat_heal_player Heal_Player
str_cheat_heal_player_s2_s3 {s2}_Healed_Player_{s3}.
str_cheat_heal_all Heal_Everyone
str_cheat_heal_all_s2 {s2}_Healed_Everyone.
str_cheat_ammo_player Refill_Player_Ammo
str_cheat_ammo_player_s2_s3 {s2}_Refilled_Player_{s3}'s_Ammo.
str_cheat_ammo_all Refill_Everyone
str_cheat_ammo_all_s2 {s2}_Refilled_Everyone's_Ammo.
str_cheat_tele_to_player Teleport_to_Player
str_cheat_tele_to_player_s2_s3 {s2}_Teleported_to_Player_{s3}.
str_cheat_tele_bring_player Bring_Player
str_cheat_tele_bring_player_s2_s3 {s2}_Teleported_Player_{s3}_to_Himself.
str_cheat_tele_wall Teleport_Through_Wall
str_cheat_tele_wall_s2 {s2}_Teleported.
str_admin_chat Admin_Chat
str_intern_admin_chat Internal_Admin_Chat
str_admin_chat_s1_s0 *Admin*[{s1}]:_{s0}
str_inter_admin_chat_s1_s0 [{s1}]:_{s0}
str_chk_auto_kick Enable_auto-kick/ban
str_num_max_teamkills_before_kick Teamkills_before_auto-kick/ban
str_chk_auto_horse Enable_automatic_killing_of_stray_horses
str_chk_auto_swap Enable_auto-swap_teams_at_siege_and_battle.
str_reset_map Reset_Map
str_reset_map_s2 {s2}_Reset_the_Map.
str_console_command Admin_Console
str_player_kicked_cheating_s2 {s2}_Is_auto-kicked_from_the_server_for_mismatching_files_with_the_servers'.
str_next_page Next_Page
str_auto_assign Auto-assign
str_begin Begin
str_game_rules Game_Rules:^
str_britain_name United_Kingdom
str_france_name French_Republic
str_prussia_name German_Empire
str_russia_name Russian_Empire
str_austria_name Austrian_Empire
str_infantry Standard
str_cavalry Heavy
str_specialists Support
str_ranker Rifleman
str_equipment Equipment:
str_random Random
str_howitzer Howitzer
str_cannon Cannon
str_all_fire_now All_Fire_Now!
str_left_fire_now Left_Fire_Now!
str_middle_fire_now Middle_Fire_Now!
str_right_fire_now Right_Fire_Now!
str_fire_at_my_command Fire_At_My_Command
str_use_melee_weapons Use_Melee_Weapons
str_use_ranged_weapons Use_Ranged_Weapons
str_melee_weapons Melee_Weapons
str_ranged_weapons Ranged_Weapons
str_formation Formation
str_very_tight Very_Tight
str_tight Tight
str_loose Loose
str_very_loose Very_Loose
str_form_1_row Form_1_Row
str_form_reg0_rows Form_{reg0}_Rows
str_confirm_quit_mission Do_you_really_want_to_quit_the_current_mission_(mission_progress_will_be_lost)?
str_no_troop Free
str_morning Morning
str_noon Noon
str_evening Evening
str_night Night
str_timeofday Time_of_Day:
str_fog_none None
str_fog_light Light
str_fog_medium Medium
str_fog_thick Thick
str_fog_amount Fog_Amount:
str_rain_amount Rain_Amount:
str_ie_iron_plank Iron_Plank
str_mm_stakes2_construct Wooden_Stakes
str_sandbags_construct Sandbags
str_ie_barbedwire_construct Small_Barbedwire
str_gabion_construct Gabion
str_fence_construct Large_Barbedwire
str_plank_construct Plank
str_earthwork1_construct Simple_Earthwork
str_explosives_construct Explosive_Crate
str_reg6_build_points Current_build_points:_{reg6}
str_reg7_build_points_cost Cost:_{reg7}_Build_Points
str_repair_prop Repair
str_destructible_object Destructible_Object
str_build_prop Construct_Object
str_dig_prop Dig
str_undig_prop Undig
str_construct_deconstruct Construct/Deconstruct
str_ignite Ignite!
str_invalid_flag_selection Select_a_flag_controlled_by_your_team.
str_invalid_prop_select Not_enough_build_points!
str_invalid_prop_place You_can't_place_this_prop_here!
str_select_track Issue_an_order:
str_music_calls Command_Calls:
str_bagpipe_extras Additional_Tunes_(bagpipe_only):
str_play_together Enable_'Play_Together'
str_drum_britain_1 British_Grenadiers
str_drum_britain_2 The_Girl_I_Left_Behind_Me
str_drum_britain_3 Lilliburlero
str_drum_britain_4 Men_of_Harlech
str_drum_britain_5 Rule_Britannia
str_drum_france_1 Aux_Champs
str_drum_france_2 La_Charge
str_drum_france_3 La_Diane_ou_Rigodon
str_drum_france_4 La_Grenadiere
str_drum_france_5 Le_Pas_Cadence
str_drum_prussia_1 York'scher_Marsch
str_drum_prussia_3 Hohenfriedberger_Marsch
str_drum_prussia_4 Preussischer_Lockmarsch
str_drum_prussia_5 Parademarsch_der_Spielleute
str_drum_prussia_6 Praesentiermarsch
str_drum_russia_1 Pohod_Grenaderskij
str_drum_russia_2 Pohod_Leib_Gvardii_Izmailovskogo_Polka
str_drum_russia_3 Marsh_Kolonni_Idushej_v_Ataku
str_drum_russia_4 Pohod_Leib_Gvardii_Preobrazhenskogo_Polka
str_drum_russia_5 Pohod_Leib_Gvardii_Semenovskogo_Polka
str_drum_austria_1 Oestereeichischer_Grenadiermarsch
str_drum_austria_2 Coburger_Marsch
str_drum_austria_3 Pappenheimer_Marsch
str_drum_austria_4 Pariser_Einzugsmarsch
str_drum_austria_5 Prinz_von_Eugen
str_drum_highland_1 All_the_Blue_Bonnets_Are_O'er_the_Border
str_drum_highland_2 Bonnie_Dundee
str_drum_signal_1 Camp,_Taps
str_drum_signal_2 Cease_fire
str_drum_signal_3 Drummer_Call
str_fife_britain_1 British_Grenadiers
str_fife_britain_2 The_Girl_I_Left_Behind_Me
str_fife_britain_3 Lilliburlero_March
str_fife_britain_4 Men_of_Harlech
str_fife_britain_5 Rule_Britannia
str_fife_france_1 Aux_Champs
str_fife_france_2 La_Charge
str_fife_france_3 La_Diane_ou_Rigodon
str_fife_france_4 La_Grenadiere
str_fife_france_5 Le_Pas_Cadence
str_fife_prussia_1 York'scher_Marsch
str_fife_prussia_2 Hohenfriedberger_Marsch
str_fife_prussia_3 Preussischer_Lockmarsch
str_fife_prussia_4 Parademarsch_der_Spielleute
str_fife_prussia_5 Praesentiermarsch
str_fife_russia_1 Pohod_Grenaderskij
str_fife_russia_2 Pohod_Leib_Gvardii_Izmailovskogo_Polka
str_fife_russia_3 Marsh_Kolonni_Idushej_v_Ataku
str_fife_russia_4 Pohod_Leib_Gvardii_Preobrazhenskogo_Polka
str_fife_russia_5 Pohod_Leib_Gvardii_Semenovskogo_Polka
str_fife_austria_1 Oestereeichischer_Grenadiermarsch
str_fife_austria_2 Coburger_Marsch
str_fife_austria_3 Pappenheimer_Marsch
str_fife_austria_4 Pariser_Einzugsmarsch
str_fife_austria_5 Prinz_von_Eugen
str_bugle_britain_1 British_Boots
str_bugle_britain_2 British_Light_Infantry
str_bugle_france_1 Charge!
str_bugle_france_2 Advance!
str_bugle_france_3 Hold_your_position!
str_buble_france_4 Retreat!
str_bugle_prussia_1 Charge!
str_bugle_prussia_2 Advance!
str_bugle_prussia_3 Hold_your_position!
str_bugle_prussia_4 Retreat!
str_bugle_russia_1 Pohod_Mushketerskij
str_bugle_russia_2 Pohod_Artillerijskij_i_dlia_Saperov
str_bugle_russia_3 Pohod_Egerskij
str_bugle_austria_1 Strauch_Marsch
str_bugle_austria_2 Frohes_Leben_Marsch
str_bugle_signal_1 Assemble_the_Men
str_bugle_signal_2 Extend_Lines
str_bugle_signal_3 Close_Ranks
str_bugle_signal_4 On_Enemy
str_bugle_signal_5 Open_Fire
str_bagpipes_britain_1 All_the_Blue_Bonnets_Are_O'er_the_Border
str_bagpipes_britain_2 Bonnie_Dundee
str_bagpipes_extra_1 Black_Bear
str_bagpipes_extra_2 Amazing_Grace
str_bagpipes_extra_3 Balmoral
str_bagpipes_extra_4 Bonnie_Dundee
str_bagpipes_extra_5 Cock_o'_the_North
str_bagpipes_extra_6 Highland_Cathedral
str_bagpipes_extra_7 My_Home
str_bagpipes_extra_8 Scotland_the_Brave
str_bagpipes_extra_9 Skye_Boat_Song
str_piano_tune_1 Beethoven_-_Fur_Elise
str_piano_tune_2 Beethoven_-_Ecossaise
str_piano_tune_3 Erik_Satie_-_Gymnopedie_3
str_piano_tune_4 Beethoven_-_Laendler
str_piano_tune_5 Lift_Motif
str_piano_tune_6 Bach_-_Prelude
str_piano_tune_7 Wagner_-_Bridal_Chorus
str_piano_tune_8 Schubert_-_Ave_Maria
str_organ_tune_1 Argonnerwald
str_organ_tune_2 Die_Watch_am_Rhein
str_organ_tune_3 Heil_dir_im_Siegerkranz
str_organ_tune_4 Pariser_Einzugsmarsch
str_organ_tune_5 La_Marseillaise
str_organ_tune_6 La_Toussaint_Rouge
str_organ_tune_7 Le_Chant_Du_Depart
str_organ_tune_8 Minuit_Chrétiens
str_flag_reg3 Flag_{reg3}
str_mp_arabian_harbour_flag_1 Small_Inn
str_mp_arabian_harbour_flag_2 Backyard
str_mp_arabian_harbour_flag_3 Port
str_mp_arabian_harbour_flag_4 Lighthouse
str_mp_arabian_village_flag_1 Southern_Trench
str_mp_arabian_village_flag_2 Northern_Trench
str_mp_arabian_village_flag_3 No_Man's_Land
str_mp_dust_flag_1 Southern_Trench
str_mp_dust_flag_2 Northern_Trench
str_mp_dust_flag_3 Northern_Barn
str_mp_dust_flag_4 Southern_Barn
str_mp_dust_flag_5 Crashed_Airplane
str_mp_beach_flag_1 Main_Trench
str_mp_beach_flag_2 Bunker
str_mp_beach_flag_3 North_Western_Trench
str_mp_beach_flag_4 North_Eastern_Trench
str_mp_beach_flag_5 Beach
str_mp_beach_flag_6 Destroyed_Barn
str_mp_ardennes_flag_1 Forest
str_mp_ardennes_flag_2 Trench
str_mp_ardennes_flag_3 Road
str_mp_ardennes_flag_4 Bridge
str_mp_avignon_flag_1 North_Eastern_Trench
str_mp_avignon_flag_2 South_Eastern_Trench
str_mp_avignon_flag_3 North_Western_Trench
str_mp_avignon_flag_4 South_Western_Trench
str_mp_avignon_flag_5 Crashed_airplane
str_mp_avignon_flag_6 Middle_Trench
str_mp_avignon_flag_7 South_Western_Trench
str_mp_borodino_flag_1 Northern_Trench
str_mp_borodino_flag_2 Middle_Trench
str_mp_borodino_flag_3 Southern_Trench
str_mp_columbia_hill_farm_flag_1 North_Eastern_Farmhouse
str_mp_columbia_hill_farm_flag_2 South_Western_Trenches
str_mp_columbia_hill_farm_flag_3 North_Western_Trenches
str_mp_columbia_hill_farm_flag_4 Village
str_mp_european_city_flag_1 Village
str_mp_european_city_flag_2 Northern_Bunker
str_mp_european_city_flag_3 Street
str_mp_european_city_flag_4 Western_Forest
str_mp_european_city_flag_5 South_Western_Trenches
str_mp_european_city_flag_6 North_Eastern_Trenches
str_mp_european_city_flag_7 North_Western_Trenches
str_mp_european_city_flag_8 Eastern_Forest
str_mp_european_city_flag_9 No_Man's_Land
str_mp_french_farm_flag_1 North_Eastern_Trench
str_mp_french_farm_flag_2 South_Eastern_Trench
str_mp_french_farm_flag_3 Outpost
str_mp_french_farm_flag_4 Channel_Trench
str_mp_hungarian_plains_flag_1 Somerby_Farm
str_mp_hungarian_plains_flag_2 Artillery_Position
str_mp_hungarian_plains_flag_3 Mud_Trench
str_mp_hungarian_plains_flag_4 The_Abandoned_House
str_mp_hungarian_plains_flag_5 Middle_Trench
